Week	RevPerCustomer	NumberCustomers	TillDifference	InflationIndex	SeasonalIndex_RevPerCustomer	SeasonalIndex_NumberCustomers
1	1.68	1164	0.36	2	1.029	0.939
2	1.68	1339	-4.4	2.059	1	0.982
3	2.04	1198	-1.97	2.024	1.135	1.061
4	2.32	1489	-10.52	2.021	1.297	1.213
5	2.76	1524	11.11	2.054	1.436	1.401
6	3.16	2041	-2.79	2.031	1.711	1.63
7	3.84	3441	9.84	2.051	1.95	2.508
8	2.04	1294	-12.92	2.024	1.556	1.655
9	1.44	1511	-3.58	2.069	0.935	1.183
10	1.53	1119	6.74	2.065	0.838	0.917
11	1.41	1180	0.28	2.034	0.829	0.918
12	1.39	1335	-4.44	2.071	0.824	0.903
13	1.39	1349	1.36	2.071	0.875	0.892
14	1.44	1409	5.52	2.069	0.853	0.917
15	1.41	1216	0.57	2.107	0.824	0.885
16	1.44	1422	1.72	2.069	0.879	0.961
17	1.32	1475	3.79	2.037	0.9	0.929
18	1.17	1294	9.48	2.13	0.885	0.917
19	1.29	1187	5.35	2.077	0.897	0.867
20	1.53	1379	0.45	2.133	0.968	0.938
21	1.29	1394	7.99	2.077	0.929	0.951
22	1.27	1458	-3.96	2.12	0.962	0.927
23	1.41	1418	17.16	2.107	0.933	0.952
24	1.41	1470	21.67	2.107	0.933	0.947
25	1.32	1229	-3.82	2.115	0.929	0.875
26	1.46	1307	-2	2.103	0.935	0.903
27	1.34	1423	0.26	2.154	0.929	0.859
28	1.41	1421	-0.2	2.185	0.964	0.862
29	1.51	1314	4	2.172	1	1
30	1.27	1358	-3.75	2.12	1	0.929
31	1.41	1239	9.4	2.185	1	0.923
32	1.56	1354	0.36	2.241	1.036	0.928
33	1.75	1216	-2.81	2.212	1	0.971
34	1.63	1205	-0.94	2.194	1	1.004
35	1.82	1247	-0.03	2.303	0.971	1.037
36	1.92	1414	0.19	2.286	1.029	1.103
37	1.72	826	11.85	2.323	0.912	0.629
38	1.56	1045	-0.68	2.321	0.933	0.723
39	1.75	1060	0.91	2.281	0.97	0.868
40	1.7	1053	-1.25	2.29	0.969	0.834
41	1.75	1054	-3.53	2.281	0.941	0.853
42	1.75	1090	-5.4	2.281	0.941	0.915
43	1.75	1194	-4.66	2.281	0.941	1.027
44	1.77	1118	-4.4	2.312	0.941	0.913
45	1.68	1162	5.68	2.333	0.909	0.96
46	1.58	1268	-1.71	2.357	0.903	0.957
47	1.58	1110	-4.06	2.357	0.903	0.859
48	1.15	1232	-0.03	1.655	0.935	0.95
49	1.6	1257	1.7	2.393	0.933	0.905
50	1.82	1244	-0.82	2.375	0.914	0.912
51	1.7	1213	-1.92	2.367	0.968	0.92
52	1.84	1312	2.28	2.333	0.971	0.933
