acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,totalpay,county,PctUnempl,MedIncome,IncomePctStateAvg,PctPoverty,Pct_ltHS,Pct_HS,Pct_SomeCollege,Pct_BachPlus,Pct_AnyDebtCollections,MedianDebtCollections,Pct_AutoLoan,Pct_AutoLoanCollections,Pct_CCLoanCollections,Pct_EduLoan,MedianEduLoan,Pct_EduLoanCollections,MedianMedDebt,Pct_MedDebtCollections,Pct_NoHealthIns,percentPay
1,CA,93313,Wells,1786,04013181,4,0.1992,-1.61,133,67,104,3,360,06029,6.9,57926,68.3,18.5,24.05209301,27.57228249,30.76815822,17.60746628,31.11569,1747,32.27986,3.98718,4.59205,11.9432,14718,9.61969,759.5,11.81725,7.82204,20.15677492
2,CA,92154,Wells,2048,01015805,1,0.4376,-0.83,109,6,233,6,300,06073,3.4,90756,107,10.7,11.6848286,18.19642779,29.85549373,40.26324989,20.19116,1924,28.30083,2.24266,2.34859,12.17414,19222,6.50241,855,9.18014,6.69465,14.6484375
3,FL,33319,Wells,5170,04013057,4,0.8140,-0.21,103,90,28,1,10,12011,2.9,65536,103.9,12.8,10.03151306,26.84051713,28.84405544,34.28391437,29.07147,2156,30.35327,3.56541,3.98657,13.99978,21850,8.6729,796,13.82793,12.71383,0.193423598
4,WA,98115,Bank_Of_Am,4506,08012265,8,0.2978,-1.21,136,11,8,2,2550,53033,2.9,110351,131.1,9.3,6.331713642,14.84370095,24.79811878,54.02646663,12.93026,1740,23.20067,1.91134,1.67551,12.62852,21706,5.1976,529,4.58894,5.24257,56.59121172
5,MI,49615,Associates,2706,03013630,3,0.3722,-0.99,105,42,45,11,2000,26009,5.8,59430,93.7,10.2,6.876239026,31.07335033,32.05890683,29.99150382,19.04762,1318.5,36.54762,1.95531,1.12782,12.7381,14002,12.14953,357,6.78571,6.20515,73.90983001
6,MD,20743,Associates,740,05012860,5,0.4153,-0.88,120,51,9,1,14,24033,3.5,89689,99.5,11.5,12.77031258,25.42442424,26.88405475,34.92120843,33.1945,1843.5,30.37816,6.11452,5.30234,20.68624,26762,9.1403,602.5,12.59421,10.61074,1.891891892
7,TN,37917,Discover,1578,03013468,3,0.8264,-0.19,126,67,82,1,368,47093,2.9,64817,108.6,12.1,7.86500652,25.06018658,28.31433694,38.76046996,28.78348,2141,30.52514,3.71975,2.66596,15.39781,21652,6.89803,1169,18.20821,7.89621,23.32065906
8,CA,92628,Discover,5699,01019161,1,0.5225,-0.65,132,88,158,2,117,06059,3.2,100210,118.1,9.9,13.38891948,17.24420737,27.25107979,42.11579335,17.55021,1857,27.25739,2.29937,2.10546,10.69581,19182,5.73619,683.5,7.07588,6.87569,2.052991753
9,RI,02842,Bank_Of_Am,2099,01016315,1,0.7119,-0.34,123,33,37,6,865,44005,2.8,85764,117,9.7,5.596844181,20.03944773,23.69546351,50.66824458,12.38972,1618,30.84005,1.87845,1.92508,15.88032,21375,4.83092,426,2.3015,3.29564,41.21010005
10,NC,28543,Discover,1606,02013829,2,0.0265,-3.63,129,21,95,4,500,37133,4.3,55645,89.8,13.9,8.230047812,29.6202648,37.32438396,24.82530342,31.02338,2039,40.32531,3.63188,4.66321,14.58828,18684,9.52381,996,15.58794,12.21392,31.13325031
11,CA,93722,Wells,1413,08012311,8,0.9006,-0.1,130,88,21,1,30,06019,6.4,63140,74.4,19.4,22.09239622,22.68928728,32.58537625,22.63294025,27.67851,1399,30.51416,3.26535,3.69169,12.71982,14984,12.0211,546,11.16251,5.73548,2.123142251
12,MO,63031,Chase,2778,03013356,3,0.4958,-0.7,125,75,88,2,797,29189,2.4,72507,117.3,10.5,5.902439305,21.09453852,27.71125738,45.29176479,26.86732,1857,29.8047,5.1843,3.2585,17.69978,22372,8.70647,762,15.63984,5.85666,28.68970482
13,CA,94109,Discover,1859,04013066,4,0.6660,-0.41,137,77,64,1,1270,06075,2.5,119776,141.2,11.4,11.219663,11.37337094,17.89020986,59.5167562,11.11815,1572,13.95136,2.44989,1.55919,9.94967,21333,6.36717,580,3.44913,3.10433,68.31629909
14,CA,94702,Bank_Of_Am,6650,09011960,9,0.4056,-0.9,146,31,32,20,2430,06001,3.3,108971,128.5,9.4,10.99556649,16.65392093,22.70746308,49.6430495,14.8565,1866,20.97298,2.93913,2.00185,10.51324,21097,6.57943,750,5.58146,4.22155,36.54135338
15,MD,20657,Discover,4524,08012288,8,0.2738,-1.3,130,63,13,2,3181,24009,2.9,117459,130.3,5.8,5.474791703,28.79620734,30.02472791,35.70427305,18.41557,1667,37.97776,2.52565,2.80899,16.08756,21241,6.04752,444.5,7.78318,2.78264,70.31388152
16,AZ,85006,Bank_Of_Am,2436,06012571,6,0.9181,-0.09,120,1,43,2,106,04013,3.3,76230,110.5,11.3,11.15749581,22.02357049,32.46251888,34.35641482,26.4425,1897,31.1102,3.95944,3.37067,15.88688,18567,9.04062,717,12.59393,10.652,4.351395731
17,MS,39307,Associates,2661,02013804,2,0.3603,-1.02,113,8,120,1,218,28075,4.1,44492,91,22.8,15.40003207,26.81978515,37.11119128,20.6689915,35.65593,1563,29.21672,8.07229,6.49087,13.40702,17781,10.03584,1063,14.80058,9.12985,8.192408869
18,GA,31419,Discover,1533,05012890,5,0.2812,-1.27,145,60,72,1,126,13051,3,61527,92.5,15.5,9.384328172,24.35382911,30.71620394,35.54563878,36.39702,1918.5,30.52166,6.84333,5.71016,19.78615,26090,10.69869,947,19.35414,10.99104,8.219178082
19,TX,79930,Discover,3747,10011461,10,0.9347,-0.07,135,91,48,7,337,48141,4.3,50983,76.1,20.1,20.24416302,23.78884176,31.30272408,24.66427114,37.41154,2159,34.58446,5.84388,3.95777,18.50383,16522.5,9.41129,941.5,16.88836,21.41302,8.993861756
20,NY,11212,Wells,4438,02013700,2,0.9514,-0.05,120,50,112,1,2900,36047,5.9,66943,90.2,19.2,16.30432698,25.24559171,18.91882099,39.53126032,19.79745,1779,13.06414,4.43968,4.09662,14.3664,22605,8.07049,380,3.40042,6.14937,65.34474989
21,CA,91792,Bank_Of_Am,6503,01019062,1,0.3312,-1.1,121,1,126,3,1250,06037,4.9,77356,91.2,14.1,19.95716305,20.39096448,25.60750331,34.04436916,22.26986,1860.5,25.77181,3.16442,2.94676,12.15225,19053,7.82106,743,6.99388,8.96509,19.22189759
22,SC,29412,Bank_Of_Am,6948,01018765,1,0.5915,-0.53,131,54,112,9,729,45019,2.8,71755,120.7,13.8,7.114868334,20.98481219,25.16171722,46.73860225,30.12891,1747,29.40791,5.47696,3.27757,18.84058,25364,9.70236,621,17.02716,8.66262,10.49222798
23,CA,94544,Wells,1547,04013152,4,0.5014,-0.69,120,32,59,7,260,06001,3.3,108971,128.5,9.4,10.99556649,16.65392093,22.70746308,49.6430495,14.8565,1866,20.97298,2.93913,2.00185,10.51324,21097,6.57943,750,5.58146,4.22155,16.80672269
24,MD,21136,Bank_Of_Am,4965,04923405,4,0.4038,-0.91,141,11,39,8,4212,24013,2.7,102006,113.2,5.4,6.208875064,28.20388795,27.61761002,37.96962697,14.09926,1438,35.29412,1.34073,1.82971,14.35662,19418,4.9936,593,7.31618,2.70973,84.83383686
25,NJ,07306,Chase,1447,04013047,4,0.9401,-0.06,140,9,13,1,559,34017,3.6,79159,88.7,15.9,13.21815716,23.81269766,17.29655879,45.6725864,22.98392,1246,18.77572,3.7363,3.68814,14.63115,20667,7.85735,400,9.77389,11.11636,38.63165169
26,NY,10567,Associates,2174,03013581,3,0.8175,-0.2,117,92,42,1,791,36079,2.9,107014,144.2,6.6,6.666005075,26.35638034,25.48591519,41.49169939,14.48363,1567,35.48489,1.65426,1.88679,18.67128,27310,3.37268,543,6.3602,4.57493,36.38454462
27,CA,90006,Wells,2138,01014966,1,0.5570,-0.59,116,9,7,2,540,06037,4.9,77356,91.2,14.1,19.95716305,20.39096448,25.60750331,34.04436916,22.26986,1860.5,25.77181,3.16442,2.94676,12.15225,19053,7.82106,743,6.99388,8.96509,25.25724977
28,CA,94066,Wells,2744,09012056,9,0.9148,-0.09,136,46,1,1,150,06081,2.4,131151,154.6,6.8,9.180960184,14.89178133,23.47169784,52.45556065,11.56433,1911,20.08625,2.00938,1.48465,7.27568,21062,5.32898,788.5,4.32822,3.89601,5.466472303
29,OK,73034,Discover,1533,06012588,6,0.4748,-0.74,112,86,19,1,1470,40083,2.7,68955,123.5,13.1,8.358410612,31.09992016,30.2247743,30.31689492,31.51619,1449.5,34.41226,3.49794,4.47094,14.05451,17394,9.69697,698.5,16.18399,12.51928,95.89041096
30,IL,60621,Discover,1915,01015078,1,0.7680,-0.26,98,12,81,1,1080,17031,5,72063,99.8,13.8,12.02660655,22.42699294,24.79774466,40.74865585,27.42029,1448,23.33793,4.92323,3.65191,16.81452,22564,7.54465,587,13.28281,8.93505,56.39686684
