PlayerNumber	 Age 	 FedExCupPoints 	 Money 	 Round1Score 	 Round2Score 	 Round3Score 	 Round4Score 	 TotalStrokes 	 AverageDrive 	Drive_rank	 Percent_Birdie_when_GIR 	 Percent_Fairways 	 Percent_GIR 	 Putt_round 	 Percent_10foot 	 Percent_Outside10 
1116	44	24.17	"22,815.91"	69.67	70.33	71.17	70.83	282	278.55	151	0.24	57.14	68.52	29.46	89.02	13.43
1226	51	40.83	"81,026.83"	68.67	69.67	69.33	72.67	280.33	290.01	30	0.28	61.31	67.13	29.5	88.27	13.58
1249	44.5	8.61	"14,238.75"	68.75	70.25	73	73.5	285.5	288.07	48	0.3	54.91	65.28	31.67	85.76	12.31
1313	48	10.75	"12,813.34"	68	71.5	73.5	73.5	286.5	270.9	229	0.29	66.96	59.72	28.13	89.44	21.56
1320	45	0.94	"12,028.00"	71	76	73	77	297	274.93	195	0.25	46.43	55.56	29.5	82.5	13.16
1388	42	19.5	"16,336.67"	68	72	74	75	289	278.54	152	0.2	58.93	61.11	29.75	79.01	15.79
1473	45	29	"21,840.00"	72	70	69	69	280	286.43	65	0.24	57.14	68.06	29	86.42	5.71
1577	46	14.64	"15,571.73"	69.8	69.8	74.4	70.8	284.8	274.11	203	0.27	65.28	61.67	34.3	88.57	16.66
1619	46	0.99	"11,940.00"	75	73	75	75	298	260	267	0.22	60.71	45.83	27.25	91.55	13.16
1677	51	32.5	"28,060.00"	65	72	69	69	275	293.48	15	0.21	67.86	80.56	30.5	94.12	12.96
1706	46.43	40.68	"72,387.65"	69.86	69.29	69.86	71.71	280.71	286.53	64	0.28	58.59	69.84	33.75	86.77	13.38
1724	46.6	17.8	"18,060.35"	72.6	70.2	70.6	73.2	286.6	277.43	168	0.3	67.77	63.89	35.1	84.6	13.13
1766	44	35.63	"54,140.31"	69.75	70.88	72.38	70.38	283.38	277	173	0.28	67.41	64.76	30.1	86.68	12.77
1797	48	18.88	"26,123.70"	72.25	71.75	73.25	74.5	291.75	271.87	219.5	0.27	72.2	64.58	29.56	84.99	10.81
1810	40	115.95	"232,559.15"	70.1	69.4	70.1	70.1	279.7	291.16	21	0.37	53.15	66.25	32.23	87.9	15.13
1887	54	0.92	"18,240.00"	66	74	79	77	296	267.45	253	0.3	60.71	59.72	29.25	88.73	15.22
1928	51	18.5	"21,188.00"	70.5	70	75	70.5	286	247.04	270	0.24	66.96	59.03	28.25	85.14	18.86
1941	51	20	"15,660.00"	73	68	69	75	285	262.25	265	0.31	76.36	54.17	54	88.89	23.53
1945	50	28	"29,578.25"	71.5	71.5	70.5	72	285.5	271.98	218	0.27	69.64	69.44	30.25	87.89	5.69
1948	44	27.69	"36,785.38"	69.43	70	73	70.86	283.29	274.26	201	0.28	63.27	61.51	28.75	88.95	15.08
1968	54	15	"12,996.00"	70	74	73	72	289	261.98	266	0.12	73.21	56.94	29.25	90.28	13.33
1978	46	15	"14,798.33"	70	66.5	71	74.5	282	289.79	32	0.28	60.71	65.97	29.5	87.72	10.83
2076	51	 -   	"40,250.00"	75	73	73	75	296	257.05	268	0.12	58.93	56.94	29.75	83.33	12.2
2206	44	183.75	"435,262.80"	67.67	67.17	70.5	69.83	275.17	274.19	202	0.3	74.13	73.84	28.75	88.45	16.44
2214	49	22	"14,806.40"	73	68	72	68	281	276.13	185	0.18	69.64	52.78	27.75	88	11.11
2239	46	64.42	"122,442.00"	71.83	69.33	69.5	71.33	282	270.63	231	0.3	69.35	67.59	28.5	86.91	14.35
