PlayerNumber, Age , FedExCupPoints , Money , Round1Score , Round2Score , Round3Score , Round4Score , TotalStrokes , AverageDrive ,Drive_rank, Percent_Birdie_when_GIR , Percent_Fairways , Percent_GIR , Putt_round , Percent_10foot , Percent_Outside10 
1116, 44.00 , 24.17 ," 22,815.91 ", 69.67 , 70.33 , 71.17 , 70.83 , 282.00 , 278.55 ,151, 0.24 , 57.14 , 68.52 , 29.46 , 89.02 , 13.43 
1226, 51.00 , 40.83 ," 81,026.83 ", 68.67 , 69.67 , 69.33 , 72.67 , 280.33 , 290.01 ,30, 0.28 , 61.31 , 67.13 , 29.50 , 88.27 , 13.58 
1249, 44.50 , 8.61 ," 14,238.75 ", 68.75 , 70.25 , 73.00 , 73.50 , 285.50 , 288.07 ,48, 0.30 , 54.91 , 65.28 , 31.67 , 85.76 , 12.31 
1313, 48.00 , 10.75 ," 12,813.34 ", 68.00 , 71.50 , 73.50 , 73.50 , 286.50 , 270.90 ,229, 0.29 , 66.96 , 59.72 , 28.13 , 89.44 , 21.56 
1320, 45.00 , 0.94 ," 12,028.00 ", 71.00 , 76.00 , 73.00 , 77.00 , 297.00 , 274.93 ,195, 0.25 , 46.43 , 55.56 , 29.50 , 82.50 , 13.16 
1388, 42.00 , 19.50 ," 16,336.67 ", 68.00 , 72.00 , 74.00 , 75.00 , 289.00 , 278.54 ,152, 0.20 , 58.93 , 61.11 , 29.75 , 79.01 , 15.79 
1473, 45.00 , 29.00 ," 21,840.00 ", 72.00 , 70.00 , 69.00 , 69.00 , 280.00 , 286.43 ,65, 0.24 , 57.14 , 68.06 , 29.00 , 86.42 , 5.71 
1577, 46.00 , 14.64 ," 15,571.73 ", 69.80 , 69.80 , 74.40 , 70.80 , 284.80 , 274.11 ,203, 0.27 , 65.28 , 61.67 , 34.30 , 88.57 , 16.66 
1619, 46.00 , 0.99 ," 11,940.00 ", 75.00 , 73.00 , 75.00 , 75.00 , 298.00 , 260.00 ,267, 0.22 , 60.71 , 45.83 , 27.25 , 91.55 , 13.16 
1677, 51.00 , 32.50 ," 28,060.00 ", 65.00 , 72.00 , 69.00 , 69.00 , 275.00 , 293.48 ,15, 0.21 , 67.86 , 80.56 , 30.50 , 94.12 , 12.96 
