acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,county,PctUnempl,MedIncome,IncomePctStateAvg,PctPoverty,Pct_ltHS,Pct_HS,Pct_SomeCollege,Pct_BachPlus,Pct_AnyDebtCollections,MedianDebtCollections,Pct_AutoLoan,Pct_AutoLoanCollections,Pct_CCLoanCollections,Pct_EduLoan,MedianEduLoan,Pct_EduLoanCollections,MedianMedDebt,Pct_MedDebtCollections,Pct_NoHealthIns
3571,CA,91306,Bank_Of_Am,3351,08012287,8,0.4030,-0.91,121,37,183,1,06037,4.9,77356,91.2,14.1,19.95716305,20.39096448,25.60750331,34.04436916,22.26986,1860.5,25.77181,3.16442,2.94676,12.15225,19053,7.82106,743,6.99388,8.96509
3572,FL,33417,Associates,3371,05012983,5,0.1662,-1.79,115,74,106,2,12099,2.9,70024,111.1,11.6,10.93339908,23.39463509,27.69158448,37.98038135,25.37796,2009,32.18119,2.9064,3.20002,12.21213,19986.5,8.46697,859,12.95629,12.92879
3573,CA,92507,Bank_Of_Am,4534,01019323,1,0.6252,-0.47,121,32,75,1,06065,4.2,78690,92.8,11.6,17.00949518,26.92678907,32.53036944,23.5333463,26.08633,2126,33.7148,3.36421,3.62591,13.678,18560,8.81511,842,8.82245,8.20894
3574,CA,92507,Discover,1571,01018457,1,0.4670,-0.76,119,15,16,3,06065,4.2,78690,92.8,11.6,17.00949518,26.92678907,32.53036944,23.5333463,26.08633,2126,33.7148,3.36421,3.62591,13.678,18560,8.81511,842,8.82245,8.20894
3575,AR,72758,Associates,804,05012853,5,0.7620,-0.27,120,12,213,2,05007,2.4,78974,150.2,7.9,10.28597988,29.36078303,25.78904199,34.5641951,25.41836,1593,33.78562,3.77146,3.26682,13.80597,19083,8.59951,643,15.53596,10.28135
3576,FL,32304,Associates,4421,02014271,2,0.1164,-2.15,129,88,141,10,12073,3,57246,90.8,16.2,6.801426327,19.00661568,27.13805795,47.05390004,28.68979,2096,29.93254,4.68961,4.06233,21.35164,24195,9.09091,687,10.01302,8.22937
3577,SC,29061,Chase,2473,04013093,4,0.0088,-4.73,129,51,30,3,45079,3.3,56940,95.8,17,8.185476949,21.65296508,30.51099624,39.65056173,42.28127,2405,29.72436,8.23098,6.31365,23.6487,26766,9.87049,931,22.5478,8.00233
3578,TX,78230,Associates,6746,01016057,1,0.1583,-1.84,118,17,31,1,48029,3.7,63014,94.1,14.8,14.62809859,24.3872801,30.99268325,29.99193805,38.45895,1988,34.94827,6.59555,4.21389,17.37564,18146,8.73813,578,17.9394,16.59512
3579,TN,37135,Discover,3755,01015611,1,0.8336,-0.18,93,31,189,1,47149,2.7,77942,130.6,8.7,7.662927275,27.47181328,31.3345955,33.53066395,27.91084,1798,31.87995,5.25648,3.71575,18.10539,20662.5,7.72138,762.5,15.01613,7.47983
3580,NY,11106,Discover,4092,02013764,2,0.3723,-0.99,132,60,2,2,36081,5.2,72807,98.1,13.6,17.2982753,26.69080995,22.08711692,33.92379783,17.6652,1670,15.89577,3.42374,3.44441,11.06656,20000,6.21861,351,3.76252,8.61479
