CID,Decline,Defect,Profit,Revenue,Balance,NetRev,FeeRev,ODFeeRev,Cost,Xsell
1,1,0,124.58,134,56.79,0.3,133.7,129,-9.42,1
2,0,0,15.09,22.53,1167.92,5.97,16.56,0,-7.44,2
3,1,0,21.12,32.24,284.54,1.52,30.72,18,-11.12,2
4,1,0,-1.54,4.82,714.76,3.84,0.98,0,-6.36,1
5,1,0,-3.05,1.03,9.39,0.05,0.98,0,-4.08,1
6,0,0,-0.64,9.46,789.2,4.23,5.23,0,-10.1,1
7,1,0,36.24,37.43,7924.31,37.43,0,0,-1.19,1
8,0,0,38.32,55.08,8080.16,38.64,16.44,0,-16.76,2
9,1,0,9.7,17.27,469,2.51,14.76,0,-7.57,2
10,1,0,19.94,30.68,96.68,0.52,30.16,0,-10.74,2
11,1,0,15.33,26.17,620.44,3.33,22.84,0,-10.84,2
12,1,0,-4.44,3.2,85.81,0.46,2.74,0,-7.64,1
13,1,0,2.43,6.16,684.19,3.66,2.5,0,-3.73,1
14,1,0,31.17,73.44,3064.75,15.95,57.49,0,-42.27,4
15,1,1,-0.49,4.05,8.72,0.05,4,0,-4.54,1
16,1,0,47.25,57.12,2852.72,14.09,43.03,0,-9.87,2
17,1,0,348.32,366.75,869.92,4.67,362.08,354,-18.43,2
18,1,0,35.39,40.07,7266.56,38.94,1.13,0,-4.68,2
19,1,0,-3.95,0,0,0,0,0,-3.95,1
20,0,0,13.59,19.86,2601.1,13.95,5.91,0,-6.27,1
21,0,0,42.46,55.84,3189.46,16.04,39.8,0,-13.38,2
22,1,0,-3.58,0.37,69.87,0.37,0,0,-3.95,1
23,1,0,-1,4.26,857.7,4.26,0,0,-5.26,2
24,1,0,145.43,153.78,23860.56,114.74,39.04,0,-8.35,2
25,1,0,19.36,37.27,1013.31,5.14,32.13,0,-17.91,2
26,0,1,9.49,18.26,480.21,2.57,15.69,0,-8.77,2
27,1,0,19.69,32.63,5063.48,27.13,5.5,0,-12.94,2
28,1,0,-3.85,0.06,10.84,0.06,0,0,-3.91,1
