Number	aadt	age	area_sf	brick	lanes	location	medical	num_park	park_min	park_min_med	sales_date	sales_price	street_park	use
1	30800	77	1969	1	4	3	1	9	0	0	92.56	219400	0	1
2	2100	100	1034	1	2	3	0	3	1	0	95.94	153100	1	3
3	32900	82	1083	0	4	2	1	6	0	0	95.04	96900	0	1
4		100	6094	1	2	2	1	6	0	0	95.46	306100	1	1
5	20500	100	2805	1	4	1	0	6	0	0	96.18	142000	0	2
6	7700	100	4380	1	2	3	0	10	0	0	92.36	316300	1	2
7	20500	100	2953	1	4	1	0	6	0	0	96.74	199000	0	3
8	28800	59	1083	1	5	3	1	15	0	0	95.28	221400	0	1
9	11300	74	3128	1	2	2	1	0	1	0	93.91	243900	0	1
10	16400	45	1024	1	4	1	0	6	0	0	96.01	63300	0	3
11	25700	100	1823	1	4	3	0	12	0	0	93.01	250000	0	2
12	35900	59	1083	1	5	1	0	0	1	0	93.75	56100	1	2
13	39000	18	2441	1	4	3	1	11	0	0	94.48	218400	1	1
14	8700	64	2362	1	2	2	0	0	1	0	93.91	153100	0	2
15	13300	65	2683	1	4	3	0	6	0	0	94.4	183700	0	2
16	3100	90	1181	0	2	1	0	2	1	0	96.35	76500	1	2
17	28200	43	1050	1	4	2	1	2	1	2	97.15	110200	0	1
18	7700	59	2953	1	4	3	0	6	0	0	94.4	178600	1	2
19	1000	57	5118	1	2	1	0	6	0	0	95.37	199000	1	2
20	32900	100	1096	0	4	3	1	8	0	0	93.51	159200	0	1
21	9200	73	4630	1	3	3	0	10	0	0	93.91	306100	0	2
22	32900	46	2112	1	4	2	0	16	0	0	95.28	250000	0	3
23	35900	84	1035	1	4	2	0	14	0	0	93.26	193300	0	2
24	27700	69	1423	1	4	2	1	4	1	4	93.18	152000	0	1
25	17500	70	2610	1	4	1	0	3	1	0	95.86	153100	1	2
26	33900	59	2490	0	6	3	0	3	1	0	93.58	280600	0	3
27	8200	28	1710	1	2	2	0	5	1	0	95.46	187200	0	2
28		100	1034	1	2	3	0	3	1	0	96.26	168400	0	3
29	35900	54	1575	1	4	3	0	8	0	0	96.1	117300	0	2
30	35900	63	2658	1	4	1	0	8	0	0	93.67	153200	1	3
31	13300	69	3426	1	4	3	1	13	0	0	94.55	290800	0	1
32	11300	100	1181	0	2	2	1	3	1	3	95.85	119400	0	1
33	24600	58	1772	0	4	1	0	7	0	0	95.21	93900	0	3
34	11300	91	2658	1	2	1	0	2	1	0	92.93	224500	0	2
35	32900	100	1548	1	4	2	1	3	1	3	90.59	183700	0	1
36	39000	4	3051	1	4	3	0	13	0	0	94.07	232100	0	2
37	1000	53	2461	1	2	1	0	5	1	0	95.04	163300	1	2
38	1000	58	3176	1	2	3	0	3	1	0	93.75	226500	1	2
